job_id,dataset,model,reciprocal,job,job_type,split,epoch,avg_loss,avg_penalty,avg_cost,metric_name,metric,folder,emb_e_dim,emb_r_dim,train_type,num_negs_s,num_negs_o,label_smoothing,train_loss,margin,transe_l_norm,train_optimizer,train_batch_size,train_lr,train_lr_scheduler,train_lr_scheduler_patience,emb_regularize,emb_regularize_p,emb_e_regularize_weight,emb_r_regularize_weight,emb_regularize_weighted,transe_normalize_e,transe_normalize_r,emb_e_dropout,emb_r_dropout,conve_feature_map_dropout,conve_projection_dropout,emb_initialize,emb_initialize_normal_std,emb_initialize_uniform_interval,raw_mrr,raw_hits@1,raw_hits@3,raw_hits@10,fil_mrr,fil_hits@1,fil_hits@3,fil_hits@10,fwt_mrr,fwt_hits@1,fwt_hits@3,fwt_hits@10
212073d1,fb15k-237,complex,0,search,1vsAll,valid,50,,,,mean_reciprocal_rank_filtered_with_test,0.00046334,/work/pi1/iclr2020/fb15k-237/complex-1vsAll-bce,256,256,1vsAll,,,0,bce,1,,Adam,512,0.0162898589,ReduceLROnPlateau,8,lp,1,0.0047146034,1.53022826425311E-06,0,,,0.4840378165,0.137560904,0.2,0.3,xavier_uniform_,0.0047179971,-0.6822958173,0.0004470736,2.85143996734405E-05,0.0001710864,0.0005417736,0.0004615196,2.85143996734405E-05,0.0001710864,0.000570288,0.00046334,2.85143996734405E-05,0.0001710864,0.000570288
212073d1,fb15k-237,complex,0,search,1vsAll,valid,40,,,,mean_reciprocal_rank_filtered_with_test,0.1933363602,/work/pi1/iclr2020/fb15k-237/complex-1vsAll-bce,128,128,1vsAll,,,0,bce,1,,Adam,128,0.0022520624,ReduceLROnPlateau,6,,,7.59994535069276E-15,4.77424183660424E-10,0,,,-0.4691867456,-0.3567059189,0.2,0.3,uniform_,0.0684789987,-0.2363600206,0.1008377149,0.0525235236,0.0960650146,0.1957798749,0.1754772403,0.0987453684,0.1892500669,0.3394354284,0.1933363602,0.1157684624,0.2094667852,0.3573424518
212073d1,fb15k-237,complex,1,search,1vsAll,valid,390,,,,mean_reciprocal_rank_filtered_with_test,0.2489679681,/work/pi1/iclr2020/fb15k-237/complex-1vsAll-bce,128,128,1vsAll,,,0,bce,1,,Adagrad,256,0.1416270597,ReduceLROnPlateau,0,,,5.02700714064327E-18,4.68082900070443E-19,1,,,-0.1676241457,-0.4280645549,0.2,0.3,uniform_,1.90707956420453E-05,-0.478508919,0.1438326333,0.0924436823,0.1417165697,0.2510977983,0.2307436606,0.159395501,0.2502708733,0.3771314621,0.2489679681,0.1782435179,0.2687767446,0.392586261
212073d1,fb15k-237,complex,1,search,1vsAll,valid,395,,,,mean_reciprocal_rank_filtered_with_test,0.2140801405,/work/pi1/iclr2020/fb15k-237/complex-1vsAll-bce,256,256,1vsAll,,,0,bce,1,,Adam,512,0.0559961818,ReduceLROnPlateau,5,lp,3,2.17187749293375E-13,2.93776573376309E-05,0,,,0.0251429677,-0.0101188421,0.2,0.3,xavier_uniform_,0.0019321623,-0.0781190197,0.15907791,0.1046193317,0.1674080342,0.2692614794,0.2046422501,0.141003713,0.2213002592,0.3320786953,0.2140801405,0.1499857455,0.2310521752,0.3422583342
212073d1,fb15k-237,complex,0,search,1vsAll,valid,30,,,,mean_reciprocal_rank_filtered_with_test,0.0009872281,/work/pi1/iclr2020/fb15k-237/complex-1vsAll-bce,128,128,1vsAll,,,0,bce,1,,Adagrad,256,0.0049980801,ReduceLROnPlateau,2,lp,1,5.08222519877948E-20,2.63635800308379E-15,1,,,0.3304777741,-0.2044002116,0.2,0.3,xavier_normal_,0.0542170925,-0.3320635594,0.0008219854,2.85143996734405E-05,0.0001996008,0.0007413744,0.0009738058,2.85143996734405E-05,0.000427716,0.0009124608,0.0009872281,2.85143996734405E-05,0.0004562304,0.0009409752
212073d1,fb15k-237,complex,0,search,1vsAll,valid,50,,,,mean_reciprocal_rank_filtered_with_test,0.0003289004,/work/pi1/iclr2020/fb15k-237/complex-1vsAll-bce,128,128,1vsAll,,,0,bce,1,,Adagrad,512,0.0004529866,ReduceLROnPlateau,9,lp,1,2.73836776969617E-07,6.38010092216796E-20,1,,,-0.1167654991,0.0232465863,0.2,0.3,xavier_uniform_,0.0005432807,-0.9838009923,0.0002892676,0,0,0,0.0003239566,0,0,0,0.0003289004,0,0,0
212073d1,fb15k-237,complex,1,search,1vsAll,valid,115,,,,mean_reciprocal_rank_filtered_with_test,0.0993706783,/work/pi1/iclr2020/fb15k-237/complex-1vsAll-bce,256,256,1vsAll,,,0,bce,1,,Adam,1024,0.418711565,ReduceLROnPlateau,10,,,3.39011033354675E-06,0.0004660896,0,,,-0.021892339,0.4802399278,0.2,0.3,xavier_uniform_,0.0001331203,-0.5071487241,0.0945838165,0.0791274607,0.0979754776,0.1183347553,0.0988960068,0.0846877694,0.1007984057,0.120074138,0.0993706783,0.0854006261,0.1009694859,0.1202737391
212073d1,fb15k-237,complex,1,search,1vsAll,valid,15,,,,mean_reciprocal_rank_filtered_with_test,0.2313809741,/work/pi1/iclr2020/fb15k-237/complex-1vsAll-bce,128,128,1vsAll,,,0,bce,1,,Adagrad,1024,0.2650806866,ReduceLROnPlateau,7,,,2.00550249016293E-16,3.52402759252104E-13,1,,,-0.3765027449,-0.1418977678,0.2,0.3,normal_,0.0168733997,-0.2756404,0.1430562981,0.0914741978,0.1437125802,0.2500712872,0.2154334885,0.1471913308,0.2329626381,0.3540918231,0.2313809741,0.1635015607,0.2501568198,0.3693755269
212073d1,fb15k-237,complex,1,search,1vsAll,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.2084534614,/work/pi1/iclr2020/fb15k-237/complex-1vsAll-bce,256,256,1vsAll,,,0,bce,1,,Adagrad,512,0.0195801376,ReduceLROnPlateau,4,lp,2,8.06062085833267E-11,7.19095463712306E-18,1,,,0.1605846286,0.085747242,0.2,0.3,normal_,0.00020233,-0.9075339594,0.1465772,0.0988879353,0.1527516395,0.2411177605,0.1894118153,0.1317935586,0.2068719715,0.3032221198,0.2084534614,0.1522668898,0.2259481102,0.3168234825
212073d1,fb15k-237,complex,0,search,1vsAll,valid,30,,,,mean_reciprocal_rank_filtered_with_test,0.0082340994,/work/pi1/iclr2020/fb15k-237/complex-1vsAll-bce,256,256,1vsAll,,,0,bce,1,,Adam,256,0.0087222029,ReduceLROnPlateau,4,lp,3,0.0122141542,1.42755957918739E-05,0,,,0.1929162741,0.4177547693,0.2,0.3,xavier_uniform_,4.93947755758922E-05,-0.5716961538,0.0048603816,0.0011976048,0.0030225264,0.0095523242,0.0075470345,0.0024522385,0.0063016824,0.0145708583,0.0082340994,0.0029654976,0.0069004847,0.01588252
