job_id,dataset,model,reciprocal,job,job_type,split,epoch,avg_loss,avg_penalty,avg_cost,metric_name,metric,folder,emb_e_dim,emb_r_dim,train_type,num_negs_s,num_negs_o,label_smoothing,train_loss,margin,transe_l_norm,train_optimizer,train_batch_size,train_lr,train_lr_scheduler,train_lr_scheduler_patience,emb_regularize,emb_regularize_p,emb_e_regularize_weight,emb_r_regularize_weight,emb_regularize_weighted,transe_normalize_e,transe_normalize_r,emb_e_dropout,emb_r_dropout,conve_feature_map_dropout,conve_projection_dropout,emb_initialize,emb_initialize_normal_std,emb_initialize_uniform_interval,raw_mrr,raw_hits@1,raw_hits@3,raw_hits@10,fil_mrr,fil_hits@1,fil_hits@3,fil_hits@10,fwt_mrr,fwt_hits@1,fwt_hits@3,fwt_hits@10
8319c14d,wnrr,complex,1,search,1vsAll,valid,55,,,,mean_reciprocal_rank_filtered_with_test,0.3343186199,/work/pi1/iclr2020/wnrr/complex-1vsAll-bce,256,256,1vsAll,,,0,bce,1,,Adam,512,0.0559961818,ReduceLROnPlateau,5,lp,3,2.17187749293375E-13,2.93776573376309E-05,0,,,0.0251429677,-0.0101188421,0.2,0.3,xavier_uniform_,0.0019321623,-0.0781190197,0.2396388698,0.1628213525,0.2951548994,0.3716216087,0.3314960155,0.3053724468,0.3462425768,0.37738958,0.3343186199,0.3103164136,0.3470665812,0.3775543869
8319c14d,wnrr,complex,1,search,1vsAll,valid,50,,,,mean_reciprocal_rank_filtered_with_test,0.0202820123,/work/pi1/iclr2020/wnrr/complex-1vsAll-bce,128,128,1vsAll,,,0,bce,1,,Adagrad,256,0.1416270597,ReduceLROnPlateau,0,,,5.02700714064327E-18,4.68082900070443E-19,1,,,-0.1676241457,-0.4280645549,0.2,0.3,uniform_,1.90707956420453E-05,-0.478508919,0.0183069937,0.0084047457,0.018622281,0.0339485817,0.020281918,0.0110415295,0.0207646657,0.0349373743,0.0202820123,0.0110415295,0.0207646657,0.0349373743
8319c14d,wnrr,complex,0,search,1vsAll,valid,10,,,,mean_reciprocal_rank_filtered_with_test,0.0006315818,/work/pi1/iclr2020/wnrr/complex-1vsAll-bce,256,256,1vsAll,,,0,bce,1,,Adam,512,0.0162898589,ReduceLROnPlateau,8,lp,1,0.0047146034,1.53022826425311E-06,0,,,0.4840378165,0.137560904,0.2,0.3,xavier_uniform_,0.0047179971,-0.6822958173,0.0006314628,0.0001647989,0.0004943968,0.0009887937,0.0006315248,0.0001647989,0.0004943968,0.0009887937,0.0006315818,0.0001647989,0.0004943968,0.0009887937
8319c14d,wnrr,complex,0,search,1vsAll,valid,135,,,,mean_reciprocal_rank_filtered_with_test,0.3817195,/work/pi1/iclr2020/wnrr/complex-1vsAll-bce,128,128,1vsAll,,,0,bce,1,,Adam,128,0.0022520624,ReduceLROnPlateau,6,,,7.59994535069276E-15,4.77424183660424E-10,0,,,-0.4691867456,-0.3567059189,0.2,0.3,uniform_,0.0684789987,-0.2363600206,0.2175623693,0.1204680279,0.2911997437,0.3950230479,0.3759872245,0.3594264984,0.383651942,0.4014502168,0.3817195,0.3707976043,0.383651942,0.4014502168
8319c14d,wnrr,complex,1,search,1vsAll,valid,50,,,,mean_reciprocal_rank_filtered_with_test,0.0065816164,/work/pi1/iclr2020/wnrr/complex-1vsAll-bce,256,256,1vsAll,,,0,bce,1,,Adagrad,512,0.0195801376,ReduceLROnPlateau,4,lp,2,8.06062085833267E-11,7.19095463712306E-18,1,,,0.1605846286,0.085747242,0.2,0.3,normal_,0.00020233,-0.9075339594,0.0065587854,0.0008239947,0.0065919575,0.0191166773,0.0065761219,0.0008239947,0.0065919575,0.0191166773,0.0065816164,0.0008239947,0.0065919575,0.0191166773
8319c14d,wnrr,complex,1,search,1vsAll,valid,95,,,,mean_reciprocal_rank_filtered_with_test,0.1369788736,/work/pi1/iclr2020/wnrr/complex-1vsAll-bce,256,256,1vsAll,,,0,bce,1,,Adam,1024,0.418711565,ReduceLROnPlateau,10,,,3.39011033354675E-06,0.0004660896,0,,,-0.021892339,0.4802399278,0.2,0.3,xavier_uniform_,0.0001331203,-0.5071487241,0.1245610458,0.0904746205,0.1379367113,0.1825972199,0.1365791175,0.1076137051,0.1455174685,0.1860579997,0.1369788736,0.1082729027,0.1458470672,0.1862228066
8319c14d,wnrr,complex,0,search,1vsAll,valid,20,,,,mean_reciprocal_rank_filtered_with_test,0.0003115918,/work/pi1/iclr2020/wnrr/complex-1vsAll-bce,128,128,1vsAll,,,0,bce,1,,Adagrad,256,0.0049980801,ReduceLROnPlateau,2,lp,1,5.08222519877948E-20,2.63635800308379E-15,1,,,0.3304777741,-0.2044002116,0.2,0.3,xavier_normal_,0.0542170925,-0.3320635594,0.0003115502,0,0.0001647989,0.0001647989,0.0003115904,0,0.0001647989,0.0001647989,0.0003115918,0,0.0001647989,0.0001647989
8319c14d,wnrr,complex,0,search,1vsAll,valid,5,,,,mean_reciprocal_rank_filtered_with_test,0.0004719588,/work/pi1/iclr2020/wnrr/complex-1vsAll-bce,128,128,1vsAll,,,0,bce,1,,Adagrad,512,0.0004529866,ReduceLROnPlateau,9,lp,1,2.73836776969617E-07,6.38010092216796E-20,1,,,-0.1167654991,0.0232465863,0.2,0.3,xavier_uniform_,0.0005432807,-0.9838009923,0.0004718377,0.0001647989,0.0004943968,0.0006591958,0.0004719572,0.0001647989,0.0004943968,0.0006591958,0.0004719588,0.0001647989,0.0004943968,0.0006591958
8319c14d,wnrr,complex,1,search,1vsAll,valid,70,,,,mean_reciprocal_rank_filtered_with_test,0.199268238,/work/pi1/iclr2020/wnrr/complex-1vsAll-bce,512,512,1vsAll,,,0,bce,1,,Adam,256,0.082489794,ReduceLROnPlateau,2,lp,2,2.79801514835175E-11,1.31345024889081E-08,0,,,0.3003667593,-0.2942189723,0.2,0.3,xavier_normal_,0.2208493797,-0.1838440257,0.1711723715,0.12738958,0.1923203617,0.2470336109,0.1989294667,0.1722148955,0.2048450857,0.2508239746,0.199268238,0.1727092862,0.2050098777,0.2508239746
8319c14d,wnrr,complex,1,search,1vsAll,valid,395,,,,mean_reciprocal_rank_filtered_with_test,0.3209773286,/work/pi1/iclr2020/wnrr/complex-1vsAll-bce,128,128,1vsAll,,,0,bce,1,,Adagrad,1024,0.2650806866,ReduceLROnPlateau,7,,,2.00550249016293E-16,3.52402759252104E-13,1,,,-0.3765027449,-0.1418977678,0.2,0.3,normal_,0.0168733997,-0.2756404,0.1961871495,0.1112392843,0.2565919459,0.3531641364,0.3179205616,0.2933421135,0.3307514787,0.360250473,0.3209773286,0.2989452779,0.3314106762,0.360250473
